상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810351365,세븐일레븐가산,광진점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100101530007,1,대지,153.0,7.0,서울특별시 금천구 가산동 153-7,115453117003,서울특별시 금천구 가산로,89.0,,1154510100101530007015019,타운,서울특별시 금천구 가산로 89,153801,8520,,1,,126.894331859277,37.4739395351443
MA010120220800397807,세븐여의역점주,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100260000,1,대지,26.0,,서울특별시 영등포구 여의도동 26,115604154064,서울특별시 영등포구 국제금융로2길,37.0,,1156011000100260000000001,,서울특별시 영등포구 국제금융로2길 37,150879,7327,,1,,126.924285952113,37.5229412201911
MA010120220800950221,G/S25가리봉역점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100100600015,1,대지,60.0,15.0,서울특별시 금천구 가산동 60-15,115453116013,서울특별시 금천구 벚꽃로,286.0,,1154510100100600015015801,리더스타워,서울특별시 금천구 벚꽃로 286,153790,8511,,1,,126.884113457788,37.4803901907794
MA010120220800932683,세븐일레븐금천,가산점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100101430011,1,대지,143.0,11.0,서울특별시 금천구 가산동 143-11,115453117003,서울특별시 금천구 가산로,147.0,7.0,1154510100101430011014624,,서울특별시 금천구 가산로 147-7,153801,8515,,,,126.890403059253,37.4780175288458
MA010120220814078838,세븐가산용주점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100102380084,1,대지,238.0,84.0,서울특별시 금천구 가산동 238-84,115454151222,서울특별시 금천구 벚꽃로24길,14.0,,1154510100102380084018118,명칭없음,서울특별시 금천구 벚꽃로24길 14,153801,8518,,1,,126.887198856285,37.4736265977163
MA010120220808163420,지에스25가산포스트6차점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100100500003,1,대지,50.0,3.0,서울특별시 금천구 가산동 50-3,115453116013,서울특별시 금천구 벚꽃로,298.0,,1154510100100500003017038,대륭포스트타워6차,서울특별시 금천구 벚꽃로 298,153715,8510,,,,126.883874400754,37.4814441360817
MA010120220812030307,씨유가산승리점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100105500009,1,대지,550.0,9.0,서울특별시 금천구 가산동 550-9,115453000026,서울특별시 금천구 디지털로,121.0,,1154510100105500009015661,에이스가산타워,서울특별시 금천구 디지털로 121,153803,8505,,1,,126.880095323367,37.4761334192738
MA010120220800047778,지에스25가산,V1점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100103710041,1,대지,371.0,41.0,서울특별시 금천구 가산동 371-41,115453117001,서울특별시 금천구 가산디지털1로,171.0,,1154510100103710041014470,가산에스케이브이원센터,서울특별시 금천구 가산디지털1로 171,153803,8503,,1,,126.880675837505,37.4807651927289
MA010120220805024451,씨유여의도,kcc점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100130022,1,대지,13.0,22.0,서울특별시 영등포구 여의도동 13-22,115604154091,서울특별시 영등포구 국회대로72길,17.0,,1156011000100130022031692,KCC파크타운,서울특별시 영등포구 국회대로72길 17,150870,7238,,1,,126.921269900257,37.52955260209
MA010120220804285333,이마트24가산SK,V1점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100103710041,1,대지,371.0,41.0,서울특별시 금천구 가산동 371-41,115453117001,서울특별시 금천구 가산디지털1로,171.0,,1154510100103710041014470,가산에스케이브이원센터,서울특별시 금천구 가산디지털1로 171,153803,8503,,,,126.880675837505,37.4807651927289
MA010120220813776046,세븐일레븐가산푸르지오시티점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100101390003,1,대지,139.0,3.0,서울특별시 금천구 가산동 139-3,115454151236,서울특별시 금천구 벚꽃로56길,182.0,,1154510100101390005014482,전부램킨푸르지오시티,서울특별시 금천구 벚꽃로56길 182,153801,8512,,,,126.88829774487,37.4796734136897
MA010120220804147341,세븐일레븐가산롯데IT,캐슬점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100105500001,1,대지,550.0,1.0,서울특별시 금천구 가산동 550-1,115453117002,서울특별시 금천구 가산디지털2로,98.0,,1154510100105500001018232,IT캐슬,서울특별시 금천구 가산디지털2로 98,153768,8506,,,,126.88105453514,37.4772336199671
MA010120220808239716,미니스톱가산노블루체점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100101440005,1,대지,144.0,5.0,서울특별시 금천구 가산동 144-5,115454151005,서울특별시 금천구 가산로9길,17.0,,1154510100101440005014812,G밸리노블루체스위트,서울특별시 금천구 가산로9길 17,153801,8516,,,,126.891049245932,37.4768017640972
MA010120220801007093,세븐가산월드점주,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100100600024,1,대지,60.0,24.0,서울특별시 금천구 가산동 60-24,115453116013,서울특별시 금천구 벚꽃로,254.0,,1154510100100600024015649,,서울특별시 금천구 벚꽃로 254,153781,8511,,,,126.885485496626,37.4777605826695
MA010120220804843774,세븐가산후지필름점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100107750000,1,대지,775.0,,서울특별시 금천구 가산동 775,115453117001,서울특별시 금천구 가산디지털1로,222.0,,1154510100105050019014123,한국후지필름복합주거시설,서울특별시 금천구 가산디지털1로 222,153023,8502,,1,,126.880137674654,37.4850083967523
MA010120220806612352,지에스25트윈테크점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100103450009,1,대지,345.0,9.0,서울특별시 금천구 가산동 345-9,115453117001,서울특별시 금천구 가산디지털1로,119.0,,1154510100103450009014859,SK트윈테크타워,서울특별시 금천구 가산디지털1로 119,153773,8589,,,,126.882921771017,37.4760641729375
MA010120220810017377,세븐가산롯데IT캐슬점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100105500001,1,대지,550.0,1.0,서울특별시 금천구 가산동 550-1,115453117002,서울특별시 금천구 가산디지털2로,98.0,,1154510100105500001018232,롯데IT캐슬,서울특별시 금천구 가산디지털2로 98,153768,8506,,,,126.88105453514,37.4772336199671
MA010120220813567795,지에스25여의쌍마점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100240005,1,대지,24.0,5.0,서울특별시 영등포구 여의도동 24-5,115603118019,서울특별시 영등포구 여의나루로,81.0,,1156011000100240005031229,한마루빌딩,서울특별시 영등포구 여의나루로 81,150877,7327,,1,,126.927734908951,37.5243219143759
MA010120220800976841,씨유가산에스케이점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100103450009,1,대지,345.0,9.0,서울특별시 금천구 가산동 345-9,115453117001,서울특별시 금천구 가산디지털1로,119.0,,1154510100103450009014859,에스케이트윈테크타워,서울특별시 금천구 가산디지털1로 119,153773,8589,,,,126.882921771017,37.4760641729375
MA010120220800896373,이마트24가산포휴점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100105170004,1,대지,517.0,4.0,서울특별시 금천구 가산동 517-4,115453117001,서울특별시 금천구 가산디지털1로,225.0,,1154510100105170004014127,가산동에이스가산포휴지식산업센터,서울특별시 금천구 가산디지털1로 225,153803,8501,,1,,126.878882531706,37.4850701872932
